objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6379395279355908549,0,0.288109666961444,GALEX J195734.3-004147,299.393247408179,-0.696465777031327,1,-999,23.08949,-999,2.109617,0.2380981,False,-99,0.002577333
6379395273987195373,0,0.32059579379176,GALEX J195734.9-004150,299.395570692152,-0.697351532312982,1,-999,22.30172,-999,4.358233,0.2380981,False,-99,0.003017005
6379395279355908551,0,0.624522933775416,GALEX J195731.5-004209,299.381393414798,-0.702678538330726,1,-999,23.10967,-999,2.070771,0.2380981,False,-99,0.001511537
6379395273987195400,0,0.64921257901091,GALEX J195732.5-004131,299.385729930295,-0.691953602603568,1,-999,21.86043,-999,6.543759,0.2380981,False,-99,0.003639945
6379395279355908623,0,0.660964921564159,GALEX J195733.6-004124,299.390373688456,-0.690060049501758,1,-999,22.02007,-999,5.649016,0.2380981,False,-99,0.003076285
6379395273987195409,0,0.678916866721334,GALEX J195733.6-004123,299.390143636626,-0.689787671614766,1,-999,22.43742,-999,3.846207,0.2380981,False,-99,0.001725594
6379395279355908515,0,0.749542445256266,GALEX J195736.8-004215,299.403710080436,-0.704322259562263,1,-999,21.61155,-999,8.229613,0.2380981,False,-99,0.004406503
6379395273987195347,0,0.760718774652686,GALEX J195736.9-004212,299.404090412223,-0.7035341278316,1,-999,22.0689,-999,5.400589,0.2380981,False,-99,0.002010012
6379395273987195413,0,0.813505579403216,GALEX J195730.8-004152,299.378444732765,-0.697993765892155,1,-999,20.7086,-999,18.90428,0.2380981,False,-99,0.006050937
6379395279356958542,0,0.822547656350439,GALEX J195734.2-004114,299.392588080209,-0.687321867765829,2,21.32447,-999,10.72051,-999,0.2380981,False,0.003208671,-99
6379395279355908466,0,0.842020706569859,GALEX J195736.6-004234,299.402866767547,-0.709457001523758,1,-999,19.05778,-999,86.47448,0.2380981,False,-99,0.001807704
6379395273987195339,0,0.8661633067979,GALEX J195736.7-004234,299.403182682883,-0.709706385926587,1,-999,19.14931,-999,79.48312,0.2380981,False,-99,0.001588582
6379395273987195372,0,0.885688868426536,GALEX J195737.5-004155,299.406238828564,-0.698636718234305,1,-999,22.31931,-999,4.288226,0.2380981,False,-99,0.003056558
6379395273987195316,0,0.905029005878665,GALEX J195731.6-004244,299.381812746703,-0.712420882700772,1,-999,21.57061,-999,8.545892,0.2361347,False,-99,0.00228993
6379395279355908487,0,0.912209603438144,GALEX J195731.5-004244,299.38155372475,-0.712352980864848,1,-999,21.69581,-999,7.615128,0.2361347,False,-99,0.003317778
6379395279355908559,0,0.946016630880309,GALEX J195736.0-004116,299.400337105289,-0.687830677507877,1,-999,20.43006,-999,24.43297,0.2380981,False,-99,0.008446799
6379395279355908542,0,0.957159948635328,GALEX J195737.3-004135,299.405653687247,-0.693326684832454,1,-999,21.2104,-999,11.90806,0.2380981,False,-99,0.005145504
6379395273987195385,0,1.07211444890533,GALEX J195738.1-004145,299.408782275148,-0.695863326336755,1,-999,22.42065,-999,3.906059,0.2380981,False,-99,0.002612843
6379395273987195275,0,1.1606384488906,GALEX J195734.8-004311,299.395314342541,-0.719996995620887,1,-999,22.77273,-999,2.82427,0.2305965,False,-99,0.002324244
6379395273987195455,0,1.17535135544519,GALEX J195731.9-004100,299.382915613162,-0.683473831653787,1,-999,21.93269,-999,6.122435,0.2380981,False,-99,0.003148112
6379395273988249261,0,1.23739806833278,GALEX J195732.3-004053,299.384738405829,-0.681575100019976,2,21.68587,-999,7.685148,-999,0.2380981,False,0.002341169,-99
6379395273987195440,0,1.26532685589448,GALEX J195730.1-004115,299.375399090667,-0.687578319417698,1,-999,22.08776,-999,5.307562,0.2380981,False,-99,0.003560871
6379395279355908503,0,1.37272749489223,GALEX J195739.4-004218,299.414183579125,-0.705062522443397,1,-999,20.29111,-999,27.7686,0.2380981,False,-99,0.002247692
6379395273988249264,0,1.37272928401842,GALEX J195734.1-004041,299.392151436737,-0.678126314230385,2,21.7566,-999,7.200484,-999,0.2380981,False,0.002517195,-99
6379395273987195349,0,1.37841582108491,GALEX J195739.4-004219,299.414229478445,-0.705333861644437,1,-999,20.22561,-999,29.49545,0.2380981,False,-99,0.00299529
