objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6449403293525348293,0,0.0310382366225321,GALEX J003801.0+410315,9.50450723133984,41.0542731681767,1,-999,22.68229,-999,3.069613,0.08272516,False,-99,0.003188764
2496509458089246906,0,0.0464715349173194,GALEX J003800.7+410315,9.50321897952374,41.0544235833207,1,-999,23.32341,-999,1.700728,0.08272516,False,-99,0.005147714
6449508846641611770,0,0.0529294398578591,GALEX J003800.7+410314,9.50331187268428,41.0541199701701,1,-999,23.16784,-999,1.96275,0.08272516,False,-99,0.00338039
2590979497349099847,0,0.0580089105189772,GALEX J003800.7+410315,9.50302221974221,41.0542863958885,1,-999,23.40861,-999,1.572368,0.08272516,False,-99,0.003583531
2591014681721177238,0,0.063961950181023,GALEX J003800.7+410314,9.50314119261445,41.0539884389964,1,-999,23.75024,-999,1.147894,0.08272516,False,-99,0.003483835
6449438477897434087,0,0.066637936860476,GALEX J003800.7+410314,9.50305933021144,41.0539899432099,1,-999,23.62408,-999,1.289335,0.08272516,False,-99,0.003015018
2495946508135830838,0,0.0709485923445629,GALEX J003800.7+410314,9.50289834723692,41.0540268760236,1,-999,23.84492,-999,1.052043,0.08272516,False,-99,0.003878213
2495946508135830822,0,0.257565226238563,GALEX J003801.7+410304,9.50737271149674,41.0511750374318,1,-999,23.80233,-999,1.094124,0.08272516,False,-99,0.004343696
6449403293525348358,0,0.345854353882781,GALEX J003800.1+410335,9.50071678663162,41.0598660737603,1,-999,23.53711,-999,1.396873,0.08272516,False,-99,0.002106077
6449403293525348260,0,0.376568700943688,GALEX J003759.5+410301,9.49804862115379,41.050467327726,1,-999,22.0119,-999,5.691646,0.08272516,False,-99,0.003408297
2590979497349099758,0,0.409212172665828,GALEX J003803.1+410314,9.51316960446929,41.0540704980991,1,-999,24.79217,-999,0.4396743,0.08272516,False,-99,0.002033769
6449508846641611736,0,0.466095062141964,GALEX J003803.4+410313,9.51439732407599,41.0538126284274,1,-999,23.84298,-999,1.053918,0.08272516,False,-99,0.002227289
6457249408501156769,0,0.498298855245442,GALEX J003800.7+410247,9.50324057903558,41.0464466582681,1,-999,23.7789,-999,1.117995,0.08272516,False,-99,0.002896498
6449403293525348318,0,0.565127113388384,GALEX J003758.0+410317,9.49167863065163,41.0549056942883,1,-999,22.89708,-999,2.518657,0.08272516,False,-99,0.003251157
6449473662269521992,0,0.596083044205458,GALEX J003803.6+410257,9.51515505984414,41.0492420306853,1,-999,21.7087,-999,7.525246,0.08272516,False,-99,0.004440124
6449438477897434067,0,0.611190147160402,GALEX J003803.7+410256,9.5154680899184,41.0491427367576,1,-999,22.5665,-999,3.415079,0.08272516,False,-99,0.002620462
2495876139392700851,0,0.613208320157752,GALEX J003803.7+410257,9.51562998951797,41.0492705028754,2,23.10635,-999,2.077121,-999,0.08272516,False,0.002426338,-99
2495946508136885712,0,0.620066406179288,GALEX J003803.7+410257,9.51580870916147,41.0492704030599,2,23.44799,-999,1.516377,-999,0.08272516,False,0.002078134,-99
2591014681721177328,0,0.625806267945675,GALEX J003800.8+410354,9.50366062327941,41.0651453448252,1,-999,25.18616,-999,0.3058701,0.08272516,False,-99,0.002485128
6449508846641611732,0,0.625956188530719,GALEX J003803.7+410256,9.5156417651256,41.0488951148733,1,-999,22.33274,-999,4.235468,0.08272516,False,-99,0.003017581
2590979497349099981,0,0.628480280349897,GALEX J003800.9+410354,9.50409984758715,41.0651967723895,1,-999,24.39537,-999,0.6336536,0.08272516,False,-99,0.001994679
2590979497351197001,0,0.628858812010625,GALEX J003803.7+410256,9.51579263056565,41.0489789617287,3,23.58294,22.03384,1.339134,5.577806,0.08272516,False,0.001964841,0.001627458
2591014681723274401,0,0.63421054731606,GALEX J003803.8+410256,9.51585914948958,41.048892942337,3,23.33372,22.21573,1.684667,4.717438,0.08272516,False,0.002489464,0.001679036
2590979497349099712,0,0.637016529144701,GALEX J003757.8+410304,9.49081306984394,41.0513584292039,1,-999,24.16333,-999,0.7846344,0.08272516,False,-99,0.001932504
2496509458090306155,0,0.640798411214948,GALEX J003803.8+410256,9.51614171948126,41.0490204132876,2,24.1985,-999,0.7596295,-999,0.08272516,False,0.002523687,-99
2495981692510015714,0,0.641655004615098,GALEX J003803.8+410256,9.51620038366536,41.0490640550307,3,23.21699,22.6286,1.875884,3.225207,0.08272516,False,0.002154836,0.002872792
6449508846641611715,0,0.64479074811932,GALEX J003757.8+410303,9.4908164062432,41.0509628035124,1,-999,23.81418,-999,1.082251,0.08272516,False,-99,0.002486631
6449403293525348322,0,0.648042301726934,GALEX J003803.8+410255,9.51611196817034,41.0487633282199,1,-999,21.51664,-999,8.981413,0.08089752,False,-99,0.005491116
2591014681721177158,0,0.650139018445773,GALEX J003757.7+410304,9.49058709319603,41.0511802453194,1,-999,23.85782,-999,1.039608,0.08272516,False,-99,0.002284155
6457249408501156799,0,0.657900500895333,GALEX J003757.7+410302,9.49059983597576,41.0507773819121,1,-999,24.22055,-999,0.7443568,0.08272516,False,-99,0.002053496
2590979497349099988,0,0.709907372778405,GALEX J003759.6+410356,9.49853248021781,41.0657650168628,1,-999,24.26666,-999,0.7134042,0.08272516,False,-99,0.002650511
6449508846641611833,0,0.724312433943797,GALEX J003802.5+410356,9.51064007908781,41.0657632916631,1,-999,24.15214,-999,0.7927656,0.08272516,False,-99,0.001770259
2496509458089246944,0,0.744009980820327,GALEX J003802.5+410358,9.5105981573558,41.0661347992257,1,-999,24.19689,-999,0.7607517,0.08272516,False,-99,0.002684659
2590979497349100051,0,0.757674391487051,GALEX J003802.5+410358,9.51061145815015,41.0663776727765,1,-999,23.62523,-999,1.287982,0.08272516,False,-99,0.002857522
6449403293525348242,0,0.761497179989137,GALEX J003757.6+410251,9.49024545475322,41.0475904182592,1,-999,22.9761,-999,2.341865,0.08272516,False,-99,0.003538652
2495946508135830891,0,0.76363049410669,GALEX J003802.6+410358,9.51112731157572,41.0663168274355,1,-999,23.89618,-999,1.003524,0.08272516,False,-99,0.002253268
2495981692507918666,0,0.764899746611097,GALEX J003802.4+410359,9.51028210122388,41.0666073982038,1,-999,24.15318,-999,0.7920051,0.08272516,False,-99,0.001938564
2496509458089246999,0,0.765251361229,GALEX J003800.3+410402,9.50135517401836,41.067299002046,1,-999,22.23187,-999,4.647831,0.08272516,False,-99,0.006535309
2495946508135830940,0,0.767519003258319,GALEX J003800.4+410402,9.50168652279112,41.0673767762926,1,-999,22.22196,-999,4.690472,0.08272516,False,-99,0.007137436
2591014681721177346,0,0.767734474451428,GALEX J003802.6+410359,9.51087754697433,41.0664747561257,1,-999,24.03417,-999,0.8837507,0.08272516,False,-99,0.001807433
