objid,specObjID,distance_arcmin,IAUName,ra,dec,band,fuv_mag,nuv_mag,fuv_flux,nuv_flux,e_bv,isThereSpectrum,fuv_fwhm_world,nuv_fwhm_world
6380943365958009666,0,0.185391773061541,GALEX J004522.8+140552,11.3452861844242,14.0977893809318,1,-999,22.4484,-999,3.80751,0.09677788,False,-99,0.002827794
6380943365958009656,0,0.461614563430068,GALEX J004523.1+140535,11.3465785592995,14.0931737839442,1,-999,22.08949,-999,5.299092,0.09677788,False,-99,0.001947923
3791153613469910259,0,0.674393436099536,GALEX J004523.2+140643,11.3468300577395,14.1120315784647,1,-999,23.74131,-999,1.157383,0.09730799,False,-99,0.003036234
6380943365958009681,0,0.674895768562792,GALEX J004525.7+140606,11.3573951191938,14.1017183784079,1,-999,22.82138,-999,2.700523,0.09730799,False,-99,0.002186144
6380943375621688761,0,0.683537216183522,GALEX J004520.7+140627,11.3363654699791,14.1075762466169,1,-999,22.7548,-999,2.871311,0.09677788,False,-99,0.001494813
6380943365958009634,0,0.85869842080765,GALEX J004522.2+140512,11.3428141771419,14.0868244697434,1,-999,22.65899,-999,3.136187,0.09677788,False,-99,0.002073461
6380943375621688567,0,0.962737872168282,GALEX J004521.9+140658,11.3413985815827,14.1162917889772,1,-999,22.62159,-999,3.24612,0.09730799,False,-99,0.00222812
6380943365958009735,0,1.00278237034406,GALEX J004522.6+140702,11.3442479294226,14.1174754950326,1,-999,22.89852,-999,2.515301,0.09730799,False,-99,0.002083864
6380943365958009619,0,1.00567116639399,GALEX J004523.6+140503,11.348367184751,14.0842532970902,1,-999,22.91705,-999,2.472747,0.09372878,False,-99,0.00142004
6380943365958009676,0,1.03776965764714,GALEX J004518.7+140601,11.3280088267649,14.1002843940124,1,-999,23.07257,-999,2.142744,0.09677788,False,-99,0.002101813
6380943375621688694,0,1.14388693770493,GALEX J004524.7+140459,11.353251496479,14.08317833298,1,-999,22.9874,-999,2.317604,0.09372878,False,-99,0.002098999
3791153613469910119,0,1.22397759051613,GALEX J004526.4+140509,11.3603318082767,14.0860548701557,1,-999,24.15182,-999,0.7929987,0.09324849,False,-99,0.002753522
3791153613469910194,0,1.24952120330504,GALEX J004528.1+140557,11.3672403384324,14.0992108376016,1,-999,23.72362,-999,1.176391,0.09324849,False,-99,0.003004973
3791153613469910120,0,1.25769377079977,GALEX J004519.1+140511,11.3299417434032,14.0866270178111,1,-999,24.0838,-999,0.8442675,0.09677788,False,-99,0.002480296
3791153613469910283,0,1.31192562522699,GALEX J004519.0+140655,11.3291538191517,14.1155445726532,1,-999,24.60294,-999,0.5233884,0.09677788,False,-99,0.00120822
3791153613469910127,0,1.32957265704261,GALEX J004518.5+140516,11.3272774314123,14.087904961146,1,-999,24.04547,-999,0.8746029,0.09677788,False,-99,0.002569627
6380943375621688590,0,1.38486168735207,GALEX J004521.1+140444,11.3380179329217,14.0790325689445,1,-999,22.76439,-999,2.84606,0.09372878,False,-99,0.003169185
6380943365958009646,0,1.4925429211845,GALEX J004517.4+140524,11.3226923479607,14.0901068558999,1,-999,22.92401,-999,2.456949,0.09677788,False,-99,0.002190318
3791153613469910041,0,1.52209393780466,GALEX J004523.5+140431,11.3479045095036,14.0755447665098,1,-999,23.59888,-999,1.319617,0.09372878,False,-99,0.001099741
6380943375621688525,0,1.5425606419195,GALEX J004523.6+140430,11.3484335445399,14.0752479885974,1,-999,22.8417,-999,2.65046,0.09372878,False,-99,0.001552687
6380943375621688550,0,1.57877926759353,GALEX J004527.8+140459,11.3659817309088,14.0832128450704,1,-999,22.84476,-999,2.642977,0.09324849,False,-99,0.002424116
3791153613469910039,0,1.58097661323517,GALEX J004521.5+140430,11.3399414793297,14.0751108764879,1,-999,24.06595,-999,0.8582647,0.09372878,False,-99,0.002167968
3791153613469910331,0,1.59533509436396,GALEX J004527.1+140717,11.3630426018913,14.12153153368,1,-999,24.10556,-999,0.8275129,0.09730799,False,-99,0.002266946
3791153613469910110,0,1.60009497202123,GALEX J004518.1+140457,11.325632736997,14.0827412988503,1,-999,22.98219,-999,2.328757,0.09677788,False,-99,0.003242766
6380943365958009729,0,1.71048743504125,GALEX J004517.0+140658,11.3211288824116,14.1162821897824,1,-999,22.63241,-999,3.213918,0.09677788,False,-99,0.001367081
3791153613469910280,0,1.73415144654803,GALEX J004516.7+140653,11.3198339458954,14.1149595265447,1,-999,24.01393,-999,0.900381,0.09677788,False,-99,0.002093729
6380943375621688742,0,1.75542957841697,GALEX J004518.7+140728,11.3280634414301,14.1244762108323,1,-999,22.26456,-999,4.509982,0.09751048,False,-99,0.002941388
6380943375621688846,0,1.75875969740156,GALEX J004524.7+140745,11.3532122303421,14.1292590641711,1,-999,22.80426,-999,2.743438,0.09730799,False,-99,0.002087471
6380943365958009767,0,1.77064946705301,GALEX J004527.1+140730,11.3630187071953,14.1251872065307,1,-999,22.32345,-999,4.271873,0.09730799,False,-99,0.003725405
6380943375621688800,0,1.81113983632101,GALEX J004517.7+140720,11.3240967248808,14.1224384347728,1,-999,23.1707,-999,1.957584,0.09751048,False,-99,0.00101816
6380943365958009601,0,1.81174447081669,GALEX J004528.5+140450,11.3691040740821,14.0807745927888,1,-999,22.99722,-999,2.296744,0.09324849,False,-99,0.0020552
3791153613469910270,0,1.81643862004492,GALEX J004529.8+140646,11.3744214700725,14.1129899354324,1,-999,24.21972,-999,0.7449262,0.09730799,False,-99,0.001245061
6380943375622738147,0,1.82189332973577,GALEX J004518.2+140728,11.326152587853,14.1244494847518,2,22.06791,-999,5.405529,-999,0.09751048,False,0.002399806,-99
3791153613469910253,0,1.86666825376622,GALEX J004530.4+140633,11.3766993103817,14.1093053927729,1,-999,23.13616,-999,2.020865,0.09730799,False,-99,0.001835747
6380943375621688835,0,1.88531681673191,GALEX J004528.9+140715,11.3706852299597,14.1209934943322,1,-999,22.66255,-999,3.125936,0.09730799,False,-99,0.002381744
3791153613469910114,0,1.94254013424738,GALEX J004530.1+140509,11.3754462373046,14.0858915865445,1,-999,23.56506,-999,1.361364,0.09324849,False,-99,0.002524326
6380943375622738162,0,1.98181246601325,GALEX J004529.3+140448,11.3723085989722,14.0800583654937,2,22.57795,-999,3.379266,-999,0.09324849,False,0.001590975,-99
6380943375621688662,0,1.9864798497063,GALEX J004523.2+140802,11.3469596045649,14.1339233087898,1,-999,23.0012,-999,2.288344,0.09730799,False,-99,0.002093933
3791153613469910163,0,2.0108798339662,GALEX J004531.1+140538,11.3796954756953,14.0941538351576,1,-999,23.92496,-999,0.9772748,0.09324849,False,-99,0.001571864
6380943365958009560,0,2.04081018127405,GALEX J004518.3+140421,11.3263341169374,14.0725628075372,1,-999,22.45896,-999,3.770642,0.09677788,False,-99,0.001689785
3791153613469910335,0,2.05943837952695,GALEX J004529.7+140718,11.3737671445963,14.1219098572153,1,-999,23.89779,-999,1.002041,0.09730799,False,-99,0.002554385
6380943365958009617,0,2.07512687845454,GALEX J004515.3+140506,11.3140402458667,14.0851717961396,1,-999,22.65407,-999,3.150444,0.09677788,False,-99,0.002108313
6380943375621688581,0,2.11141887344077,GALEX J004522.1+140356,11.3422905121875,14.0658111996665,1,-999,22.81473,-999,2.717116,0.09372878,False,-99,0.00234251
3791153613469909995,0,2.12663936591992,GALEX J004522.1+140356,11.3422762384602,14.0655576669346,1,-999,23.57074,-999,1.35427,0.09372878,False,-99,0.003985394
6380943375621688793,0,2.14443217047357,GALEX J004521.3+140809,11.3390401849098,14.1359614531977,1,-999,22.77453,-999,2.819606,0.09907401,False,-99,0.0007255995
6380943375621688732,0,2.1671272570638,GALEX J004514.3+140634,11.309721446337,14.1096622121386,1,-999,22.48792,-999,3.6714,0.09677788,False,-99,0.00225675
3791153613469910182,0,2.19059431781023,GALEX J004514.1+140540,11.3087478760255,14.0945691891918,1,-999,22.50417,-999,3.616848,0.09677788,False,-99,0.005243991
3791153613469910376,0,2.22129347434317,GALEX J004528.4+140750,11.3684033785416,14.1306911212938,1,-999,23.89522,-999,1.004414,0.09730799,False,-99,0.002361258
3791153613469910249,0,2.26600319765236,GALEX J004513.9+140636,11.3080858451406,14.1101112826661,1,-999,24.09559,-999,0.8351508,0.09751048,False,-99,0.002151606
6380943375621688859,0,2.27411746772609,GALEX J004522.5+140819,11.3438527022114,14.13868658897,1,-999,22.60438,-999,3.297974,0.09907401,False,-99,0.002200389
3791153613469910243,0,2.29417356671694,GALEX J004513.5+140607,11.3064309899546,14.1021076972997,1,-999,21.89421,-999,6.34328,0.09677788,False,-99,0.006027098
6380943375621688584,0,2.31690430139689,GALEX J004523.4+140344,11.3477425950431,14.0622626933572,1,-999,22.17965,-999,4.876838,0.09372878,False,-99,0.002833475
3791153613469910429,0,2.32598156290508,GALEX J004525.1+140819,11.3547609843299,14.1386205121009,1,-999,23.54237,-999,1.390118,0.09730799,False,-99,0.003197444
3791153613469909980,0,2.34511371372389,GALEX J004527.2+140356,11.3633746911004,14.0656456255707,1,-999,23.50628,-999,1.437106,0.09372878,False,-99,0.003119337
3791153613469910050,0,2.34692075276449,GALEX J004515.3+140437,11.313880593355,14.0769684524449,1,-999,24.03705,-999,0.881412,0.09677788,False,-99,0.0009393795
3791153613469910171,0,2.35451640302138,GALEX J004532.5+140534,11.3854548807687,14.0928840519864,1,-999,24.27107,-999,0.7105132,0.09324849,False,-99,0.003493745
6380943365958009679,0,2.38315213856575,GALEX J004513.1+140611,11.3049444955063,14.1030624685061,1,-999,22.93775,-999,2.426056,0.09677788,False,-99,0.001768357
6380943365958009642,0,2.4004046228941,GALEX J004513.5+140519,11.3065237191751,14.0887116648997,1,-999,22.86329,-999,2.598253,0.09817362,False,-99,0.002090617
3791153613469910033,0,2.45744970108469,GALEX J004516.6+140407,11.3194274679446,14.0688717723536,1,-999,22.55853,-999,3.440246,0.09677788,False,-99,0.005684555
6380943375621688583,0,2.47814168194459,GALEX J004516.7+140404,11.3199562497021,14.0680321643918,1,-999,22.33211,-999,4.237935,0.09677788,False,-99,0.003174125
6380943375621688799,0,2.5042007647789,GALEX J004530.6+140744,11.3776421951952,14.128945961377,1,-999,22.70416,-999,3.008392,0.09903061,False,-99,0.002429209
3791153613469910449,0,2.51833692077868,GALEX J004521.4+140832,11.3394862329575,14.142351821279,1,-999,23.80446,-999,1.091986,0.09907401,False,-99,0.002386835
6380943365958009543,0,2.55798436793782,GALEX J004516.8+140358,11.3200649072019,14.0662951642225,1,-999,23.73346,-999,1.165782,0.09372878,False,-99,0.001730304
3791153613469909942,0,2.57482912811443,GALEX J004522.0+140329,11.3420367472993,14.0580778098469,1,-999,23.42237,-999,1.552578,0.09372878,False,-99,0.003101501
3791153613469909975,0,2.58657783410447,GALEX J004525.2+140331,11.3551616723909,14.0586839301592,1,-999,23.81254,-999,1.083886,0.09372878,False,-99,0.001432272
3791153613469909957,0,2.62349601080192,GALEX J004526.8+140335,11.3617159447607,14.059912156584,1,-999,22.27873,-999,4.451511,0.09372878,False,-99,0.005725791
6380943375621688574,0,2.66089154546573,GALEX J004527.1+140335,11.3630422345513,14.0597463090534,1,-999,22.42009,-999,3.908081,0.09372878,False,-99,0.002950576
3791153613469910042,0,2.66518975612782,GALEX J004529.3+140352,11.3722533383196,14.0645506777687,1,-999,18.93295,-999,97.01025,0.09324849,False,-99,0.00133012
6380943375621688832,0,2.66594438748116,GALEX J004529.3+140352,11.3722837021841,14.064556090899,1,-999,18.78437,-999,111.2376,0.09324849,False,-99,0.001723872
6380943365958009485,0,2.67573234742001,GALEX J004529.3+140351,11.3723431474127,14.064397096047,1,-999,18.9134,-999,98.77354,0.09324849,False,-99,0.001614637
3791153613469910491,0,2.69438277917274,GALEX J004530.6+140800,11.377564482966,14.1335383123655,1,-999,23.2615,-999,1.800523,0.09903061,False,-99,0.002991389
3791153613469910078,0,2.7151887508865,GALEX J004513.8+140428,11.3078897972773,14.0745002107968,1,-999,22.98726,-999,2.317912,0.09817362,False,-99,0.004924144
6380943365958009559,0,2.72376171739579,GALEX J004531.3+140412,11.3804002716051,14.0702278213407,1,-999,22.44852,-999,3.807072,0.09324849,False,-99,0.002246737
6380943365958009505,0,2.75976442289259,GALEX J004525.3+140321,11.3557117058547,14.0558463299134,1,-999,22.67029,-999,3.103717,0.09372878,False,-99,0.0008881686
6380943365958009740,0,2.76079045492598,GALEX J004533.4+140709,11.3893486408985,14.119168198897,1,-999,22.6925,-999,3.040875,0.09903061,False,-99,0.002130793
3791153613469910519,0,2.76453563212719,GALEX J004517.4+140828,11.3228657992943,14.141167572513,1,-999,23.94576,-999,0.9587257,0.09907401,False,-99,0.002218922
6380943365958009506,0,2.77551766308483,GALEX J004519.3+140325,11.3307309071662,14.0569553884371,1,-999,22.35701,-999,4.141874,0.09372878,False,-99,0.00265324
6380943375621688996,0,2.78485454922797,GALEX J004525.9+140844,11.3582064028899,14.1456697497961,1,-999,22.06379,-999,5.426039,0.09907401,False,-99,0.004253516
6380943375621688726,0,2.80295167863151,GALEX J004522.1+140315,11.3423582432159,14.0542392358924,1,-999,22.90138,-999,2.50869,0.09372878,False,-99,0.001889665
6380943375621688873,0,2.81269057383182,GALEX J004527.7+140836,11.3657702413233,14.14353866884,1,-999,22.60837,-999,3.285875,0.09903061,False,-99,0.00131144
3791153613469910004,0,2.84574400616734,GALEX J004531.3+140403,11.3806840778396,14.0675637269386,1,-999,23.39006,-999,1.599463,0.09324849,False,-99,0.00173131
6380943375621688768,0,2.84886500654377,GALEX J004511.2+140558,11.2968946366392,14.0995683798585,1,-999,22.9071,-999,2.495504,0.09817362,False,-99,0.003257927
6380943375622738178,0,2.86875296924394,GALEX J004511.1+140552,11.2966268766022,14.0979263342022,2,22.3586,-999,4.135838,-999,0.09817362,False,0.002123568,-99
